"€1,500 monthly","1 bedroom (1 double), 1 bathroom, furnished","Derrynane Square, Dorset Street, Dublin 1"
"€1,100 monthly","1 bedroom (1 double), 1 bathroom, furnished","Drinaghamore Avenue, Carrickmines, Dublin 18"
"€1,640 monthly","1 bedroom (1 double), 1 bathroom, furnished","Pudding Row, Temple Bar, Dublin 2"
"€1,350 monthly","1 bedroom (1 double), 1 bathroom, furnished","St Augustin Street, Christchurch, Dublin 8"
"€1,615 monthly","3 bedrooms (3 double), 2 bathrooms, unfurnished","Riverwood Court, Castleknock, Dublin 15"
"€2,000 monthly","3 bedrooms (2 single, 1 double), 1 bathroom, furnished","The Ultimate Flat, Light Side Lane, Dublin 2"
"€1,500 monthly","1 bedroom (1 double), 1 bathroom, furnished","Crofton Road, Dun Laoghaire, Co. Dublin"
"€1,664 monthly","3 bedrooms (3 double), 1 bathroom, furnished","Raheen Crescent, Tallaght, Dublin 24"
"€1,645 monthly","2 bedrooms (2 double), 1 bathroom, furnished","9 St John's Cottages, Kilmainham Lane, Kilmainham, Dublin 8"
"€1,400 monthly","1 bedroom (1 double), 1 bathroom, furnished","Belgrave Square North, Ranelagh, Dublin 6"
"€1,090 monthly",studio apartment to rent,"Grosvenor Square, Rathmines, Dublin 6"
€850 monthly,studio apartment to rent,"19 Glenlyon Grove, Ballycullen Road, Knocklyon, Dublin 16"
"€1,693 monthly","1 bedroom (1 double), 1 bathroom, furnished","Sweepstakes, Ballsbridge, Dublin 4"
"€2,000 monthly","3 bedrooms (2 single, 1 double), 1 bathroom, furnished","Whiteoak, Clonskeagh, Dublin 14"
"€2,000 monthly","3 bedrooms (1 single, 2 double), 3 bathrooms, unfurnished","Esker Meadow, Lucan, Co. Dublin"
"€1,664 monthly","2 bedrooms (2 double), 1 bathroom, furnished","49 Shelbourne Village, Ringsend Road, Dublin 4, Ringsend, Dublin 4"
€900 monthly,studio apartment to rent,"28 Albert College Cresent Glasnevin Dublin 9, Glasnevin, Dublin 9"
"€1,450 monthly","2 bedrooms (1 single, 1 double), 1 bathroom, furnished","351 Harolds Cross Road., Harold's Cross, Dublin 6"
"€1,800 monthly","2 bedrooms (2 double), 2 bathrooms, unfurnished","Oak Hall, Malahide, Co. Dublin"
"€1,125 monthly","1 bedroom (1 double), 1 bathroom, furnished","The Crescent, Ongar, Dublin 15"
"€2,000 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","1 The Spinnaker, Robswall, Malahide, Co Dublin, Malahide, Co. Dublin"
"€1,508 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Clonard Road, Crumlin, Dublin 12"
"€1,800 monthly","3 bedrooms (2 double, 1 twin), 2 bathrooms, furnished","21 Cowper Downs, Rathmines, Dublin 6"
€793 monthly,"3 bedrooms (3 double), 3 bathrooms, furnished","Upper leeson st, Dublin 4"
"€1,500 monthly","3 bedrooms (1 single, 2 double), 2 bathrooms, furnished","Coopers Walk, Lusk, Co. Dublin"
"€1,500 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Waterville Terrace, Waterville, Blanchardstown, Dublin 15"
"€1,690 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Harcourt Lodge, Southern Cross Ave, Dublin 8"
"€1,200 monthly","2 bedrooms (1 single, 1 double), 2 bathrooms, furnished","51 Chieftain's Court, Chieftain's Way, Balbriggan, Balbriggan, Co. Dublin"
"€1,526 monthly","3 bedrooms (3 double), 2 bathrooms, furnished","25 Belmayne Park North, Balgriffin, Dublin 13"
"€1,831 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Kenmare House, North Great Georges Street, Dublin 1"
"€1,900 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Carnew Street, Stoneybatter, Dublin 7"
"€1,500 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Fernleigh Crescent, Castleknock, Dublin 15"
"€1,410 monthly","1 bedroom (1 double), 1 bathroom, furnished","House 12, Linden Square, Off Grove Avenue, Blackrock, Co. Dublin"
"€1,720 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Saint Columbanus Avenue, Milltown, Dublin 6"
"€1,750 monthly","2 bedrooms (1 single, 1 double), 1 bathroom, furnished","61 Kirwan Street Cottages, Stoneybatter, Dublin 7"
"€1,850 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","33 Knocklyon Gate, Knocklyon, Dublin 16"
"€1,800 monthly","3 bedrooms (3 single), 1 bathroom, furnished","72 Killester Avenue, Killester, Dublin 3"
"€1,820 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","8 Old Quay Terrace, Sutton Strand, Sutton, Dublin 13"
€900 monthly,"1 bedroom (1 double), 1 bathroom, furnished","Landacape Ave, Churchtown, Dublin 14"
"€1,550 monthly","1 bedroom (1 double), 1 bathroom, furnished","Lower Rathmines Rd / Portobello, Rathmines, Dublin 6"
"€1,400 monthly","1 bedroom (1 double), 1 bathroom, furnished","Williams Park, Rathmines, Dublin 6"
"€2,000 monthly","3 bedrooms (1 single, 2 double), 2 bathrooms, furnished","29 Warrenstown Green, Mulhuddart, Dublin 15"
"€1,950 monthly","1 bedroom (1 double), 1 bathroom, furnished","Crofton Road, Dun Laoghaire, Co. Dublin"
"€1,300 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Apartment33 Rosedale, Tyrconnell Street, Inchicore, Dublin 8"
"€1,950 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, furnished","3 Belmont Park, Raheny, Dublin 5"
